epoch,train_loss,val_loss,clip_acc,clip_prec,clip_rec,clip_f1,clip_auroc,clip_prauc,video_acc,video_prec,video_rec,video_f1,video_auroc,video_prauc,lr_transformer
1,0.20545315136067627,0.4199290810564218,0.9006003071338825,0.8704532736429771,0.9258928571428572,0.8973175656186905,0.9622479668306976,0.9428036291313238,0.8755727881565033,0.8406219630709426,0.8206831119544592,0.8305328852616418,0.9553614093041918,0.9015496606392202,0.0001
2,0.17359388647436255,0.49820536876970445,0.8904090464889013,0.8724327451547584,0.8976190476190476,0.8848467067625055,0.9589745877314901,0.9391764301478903,0.8731053930207966,0.847,0.8036053130929791,0.824732229795521,0.9514218728216414,0.897297476853515,9.96057350657239e-05
3,0.160233613743568,0.38197112033068326,0.9017171576155242,0.8676633444075305,0.9327380952380953,0.8990246701090074,0.9609589625358426,0.9405557746978752,0.8776876982728234,0.8331762488218661,0.8387096774193549,0.8359338061465721,0.953922295855545,0.8961062294638962,9.842915805643155e-05
4,0.14999688471402983,0.5522368197795902,0.8871981013541812,0.8820359281437126,0.8767857142857143,0.8794029850746269,0.9574501803087787,0.9371211475746444,0.8798026083891435,0.86414708886619,0.8026565464895635,0.8322675848499754,0.9547202069726628,0.9064754426102407,9.648882429441257e-05
5,0.14071634743264447,0.3312144656472546,0.9126064498115315,0.8892369020501139,0.9294642857142857,0.9089057043073341,0.9663607912925886,0.9479905884348699,0.910821290095171,0.8753514526710403,0.8861480075901328,0.8807166430928807,0.9667136172218965,0.9235545931180967,9.381533400219318e-05
6,0.21865176794518132,0.47097811611225576,0.9338266089627251,0.8848,0.9875,0.9333333333333333,0.9666520322301941,0.9333561810705732,0.9362002114910116,0.869602032176122,0.9743833017077799,0.9190156599552572,0.9792495218918714,0.942240060700331,9.045084971874738e-05
7,0.13962544086720585,0.46387303640728356,0.9391316487505236,0.8944954128440367,0.9866071428571429,0.9382960656665723,0.9661589612836983,0.9322956298699386,0.9474797321113853,0.8884120171673819,0.9819734345351043,0.9328526363226679,0.9781355326129872,0.9353500821701285,8.644843137107059e-05
8,0.10684009265720316,0.4116705194058369,0.9486248778444786,0.9087431693989071,0.9898809523809524,0.9475783475783476,0.9703408101999674,0.9384181261134283,0.9598167077899189,0.9151943462897526,0.9829222011385199,0.9478499542543458,0.9864195474654681,0.9588138060641757,8.18711994874345e-05
9,0.09467486267076765,0.33659735688861153,0.9595141700404858,0.930695847362514,0.987202380952381,0.9581166955517042,0.9782571794823636,0.9539427503372699,0.9668664081776525,0.9324324324324325,0.9819734345351043,0.9565619223659889,0.9877650081254437,0.9622963240428075,7.679133974894983e-05
10,0.07939214044955431,0.4060703595272091,0.9507189724975569,0.907563025210084,0.9964285714285714,0.9499219747481912,0.9674096577889635,0.93222078743611,0.9619316179062389,0.9098786828422877,0.9962049335863378,0.9510869565217391,0.9849676631820026,0.9524197209166462,7.128896457825363e-05
11,0.06618551635622295,0.5016393110986053,0.944436688538322,0.8964132762312634,0.9967261904761905,0.9439120631341601,0.9583641282571402,0.9140839547907863,0.9548819175185055,0.8930390492359932,0.9981024667931688,0.942652329749104,0.9787897718383936,0.9334824388935471,6.545084971874737e-05
12,0.058311298202947365,0.3331769294217493,0.9630043277956164,0.9370234397062976,0.9875,0.9615997681495435,0.9747518406521167,0.9464583925107596,0.9756785336623194,0.953081876724931,0.9829222011385199,0.9677720691265763,0.9920919265974985,0.9751679206926024,5.936906572928624e-05
13,0.05311305712616666,0.37728852678610575,0.9563032249057657,0.9209726443768997,0.9919642857142857,0.9551511677890815,0.9702412255988381,0.93740626461847,0.9714487134296792,0.9339875111507583,0.9933586337760911,0.9627586206896551,0.9885546714117412,0.9634711882069362,5.313952597646568e-05
14,0.049129767758213726,0.30656415076700966,0.9650984224486947,0.9402604756511891,0.9883928571428572,0.9637260591990714,0.9773852566269737,0.9517285836436687,0.9792033838561861,0.9535095715587967,0.9924098671726755,0.9725708972570897,0.9922465069106179,0.9752037619434465,4.6860474023534335e-05
15,0.040601291146925324,0.3259107502625792,0.9648192098282843,0.9397283531409168,0.9883928571428572,0.9634464751958225,0.9771339669183476,0.9511917704189383,0.976031018681706,0.9481818181818182,0.9895635673624289,0.968430826369545,0.9908693852226541,0.9708205672765693,4.0630934270713774e-05
16,0.03779532332409052,0.6294964774579748,0.941365349713807,0.893048128342246,0.9940476190476191,0.9408450704225352,0.9517364111040156,0.9015794466083987,0.9548819175185055,0.8957264957264958,0.9943074003795066,0.9424460431654677,0.9736556301821654,0.9184120037996785,3.454915028125265e-05
17,0.03644692724079512,0.4161053793855869,0.9613290520731537,0.9328840213423196,0.9886904761904762,0.959976881953475,0.9706991973755056,0.9381360324761486,0.9770884737398661,0.9483227561196736,0.9924098671726755,0.9698655540101994,0.9882774378725492,0.9625443010373239,2.871103542174637e-05
18,0.033198505585680146,0.3042860606605225,0.9694262180650566,0.9488425264361247,0.9880952380952381,0.9680711473975798,0.9796367294617032,0.956392377420986,0.9806133239337328,0.9586776859504132,0.9905123339658444,0.974335044330378,0.9922228276543913,0.975405567819682,2.3208660251050158e-05
19,0.030002418280244587,0.4293257092414938,0.9599329889711015,0.9278752436647173,0.9916666666666667,0.9587109768378651,0.9697641194921303,0.9362146781917179,0.9746210786041594,0.9415467625899281,0.9933586337760911,0.9667590027700831,0.9886629574486426,0.9637585172285162,1.8128800512565513e-05
