Threshold_Type,Threshold,TN,FP,FN,TP,Accuracy,Precision,Recall,F1
Default_0.5,0.5,1731,53,7,1047,0.9788583509513742,0.951818181809529,0.9933586337666666,0.9721448417899115
Validation_MaxF1,0.7506510615348816,1736,48,14,1040,0.97815362931642,0.9558823529323909,0.9867172675428206,0.9710550836943406
Validation_EER,0.8363087773323059,1740,44,16,1038,0.9788583509513742,0.9593345656103575,0.9848197343360074,0.9719101073513097
