Accuracy,Precision,Recall,F1,AUROC,PR-AUC,LogLoss,EER,TN,FP,FN,TP,Source,Videos
0.9493670886075949,0.9637681159420289,0.9779411764705882,0.9708029197080292,0.9502005347593583,0.9846168340427218,0.3322787582874298,0.060160427807486636,17,5,3,133,Celeb_DF,158
0.9468085106382979,0.9431818181818182,1.0,0.9707602339181286,0.8619934282584885,0.9647108268916981,0.5805519223213196,0.14238773274917854,6,5,0,83,DFDC,94
1.0,1.0,1.0,1.0,1.0,1.0,0.0003171238349750638,0.0,1384,0,0,220,DeeperForensics,1604
0.9208860759493671,0.9363295880149812,0.9689922480620154,0.9523809523809523,0.8912389735364876,0.9560299702521272,0.6945863366127014,0.140470462443197,41,17,8,250,FaceForensics++,316
0.9676923076923077,0.9502762430939227,0.9913544668587896,0.9703808180535967,0.9843067880275059,0.9756619540938282,0.31793472170829773,0.023287775463425316,285,18,3,344,HiDF,650
0.8888888888888888,0.8333333333333334,1.0,0.9090909090909091,1.0,1.0,0.49882644414901733,0.0,3,1,0,5,UADFV,9
