recall,precision
1.0,0.42944297082228117
1.0,0.42949993367820666
1.0,0.4295569116476519
1.0,0.4299561811180454
1.0,0.43161823513729675
1.0,0.4369770580296896
1.0,0.44551458447991193
1.0,0.4635647816750179
1.0,0.4951070336391437
1.0,0.5265896893803871
1.0,0.5690685413005272
1.0,0.6122140291170354
1.0,0.657328461226147
1.0,0.695148132245599
1.0,0.722284184697747
1.0,0.7435132032146957
1.0,0.7558356676003735
1.0,0.7700356718192628
1.0,0.7825036249395844
1.0,0.7859223300970873
1.0,0.7899487679921933
1.0,0.7932386085252328
1.0,0.799901185770751
1.0,0.8022794846382557
1.0,0.804072510553762
1.0,0.8056730529982583
1.0,0.8066766317887394
1.0,0.8074812967581048
1.0,0.809095452273863
1.0,0.8101075806855141
1.0,0.8109191084397696
1.0,0.8115288220551379
1.0,0.8121394532229746
1.0,0.8129550590007532
1.0,0.8131592164741336
1.0,0.8135678391959799
1.0,0.8143863179074446
1.0,0.8152064451158106
1.0,0.8156171284634761
1.0,0.8158226253464349
1.0,0.8160282258064516
1.0,0.8164397377710539
1.0,0.8168516649848637
1.0,0.8174703357737945
1.0,0.8176767676767677
1.0,0.818089944416372
1.0,0.8185035389282103
1.0,0.819331983805668
1.0,0.8195393571247785
1.0,0.8199544188402127
1.0,0.8203699011907778
1.0,0.8205778003041054
1.0,0.8207858048162231
1.0,0.8212021303575957
1.0,0.8214104515474379
1.0,0.8216188784572444
1.0,0.8218274111675127
1.0,0.822036049758822
1.0,0.8222447943118334
1.0,0.8224536449072898
1.0,0.8226626016260162
1.0,0.8228716645489199
1.0,0.8230808337569904
1.0,0.8232901093312993
1.0,0.8237089799033325
1.0,0.8239185750636132
1.0,0.8241282769152456
1.0,0.8243380855397149
1.0,0.8245480010185893
1.0,0.8247580234335201
1.0,0.824968152866242
1.0,0.8251783893985729
1.0,0.825388733112414
1.0,0.8255991840897501
1.0,0.8258097424126498
1.0,0.8260204081632653
1.0,0.8264420622766717
1.0,0.8266530508041868
1.0,0.8272866632600919
1.0,0.8274980833120368
1.0,0.8277096114519428
1.0,0.8279212477627206
1.0,0.8287688763757358
1.0,0.829405737704918
1.0,0.8298308559712968
1.0,0.8302564102564103
1.0,0.8306824012314007
1.0,0.8311088295687885
1.0,0.8313222079589216
1.0,0.8317492936039045
1.0,0.8321768182986379
1.0,0.8326047827204937
1.0,0.8330331875482377
1.0,0.833676622039135
1.0,0.8338913211434458
1.0,0.8341061308603812
1.0,0.8343210512754444
1.0,0.8347512245424078
1.0,0.8351818416301264
1.0,0.8353973168214655
1.0,0.835828600929272
1.0,0.8364763626969776
1.0,0.8366925064599483
1.0,0.8369087619539933
1.0,0.8375581996896017
1.0,0.8377749029754205
1.0,0.837991718426501
1.0,0.8384256861729674
1.0,0.838860103626943
1.0,0.8390774812127494
1.0,0.8392949714878175
1.0,0.8399481193255512
1.0,0.840384116273034
1.0,0.8406022845275182
1.0,0.8412574694725903
1.0,0.8416948271380297
1.0,0.8423517169614985
1.0,0.842790213430505
1.0,0.8432291666666667
1.0,0.8436685773840542
1.0,0.8443285528031291
1.0,0.844548774126239
1.0,0.8449895615866388
1.0,0.8452101279039416
1.0,0.8456516061634891
1.0,0.8458725182863114
1.0,0.8463146889702039
1.0,0.8465359477124182
1.0,0.8472004186289901
1.0,0.8474221408008374
1.0,0.8478659334904425
1.0,0.8480880041906758
1.0,0.8485324947589099
1.0,0.8492001049042749
1.0,0.8494228751311648
1.0,0.8496457622671215
1.0,0.8498687664041995
0.9996911673872761,0.850499211770888
0.9996911673872761,0.8511701288456481
