Model,Aggregation,Videos,Clips,AUROC,PR-AUC,Accuracy,Precision,Recall,F1
Spatial-only,mean,2838,7540,0.8981344291658512,0.775830378113437,0.7082452431289641,0.5614798694232862,0.9791271347248577,0.7136929460580913
Spatial-only,median,2838,7540,0.899882255086325,0.780203932982756,0.707892882311487,0.5611745513866232,0.9791271347248577,0.7134462495679226
Spatial-only,max,2838,7540,0.9073250738165944,0.7945460295657136,0.6856941508104298,0.5424528301886793,0.9819734345351043,0.6988521269412559
Spatial + Temporal Transformer,mean,2838,7540,0.9923723738736057,0.9758540496836041,0.9788583509513742,0.9518181818181818,0.9933586337760911,0.9721448467966574
Spatial + Temporal Transformer,median,2838,7540,0.9898095340407247,0.9673856943107193,0.9788583509513742,0.9518181818181818,0.9933586337760911,0.9721448467966574
Spatial + Temporal Transformer,max,2838,7540,0.9868196428723377,0.9578633465177133,0.9739252995066948,0.9390681003584229,0.9943074003795066,0.9658986175115207
